3: gloin
3: spots
3: gorgoroth
3: cotton
3: butterbur
3: repeat
3: land
2: 6[t]
2: brego
2: duinhir
2: abiliy
2: -8
2: ghan-buri-ghan
2: sauron's
2: streets
2: even
2: bolger
2: win
2: gimli's
2: put
2: regiment
2: 5[t]
2: balrog's
2: non-event
2: doom
2: guma
2: jarnsmid
2: seide
2: council
2: orkish
2: skirmishers
2: tied
2: 4[k]
2: such
2: silverlode
2: add[1]
2: anytime
2: tentacles
2: thrarin
2: freca
2: reshuffles
2: butcher
2: hands
2: found
2: anduin
2: umbar
2: shadowfax
2: hrethel
2: tales
2: cirdan
2: -10
2: character's
2: birchseed
2: spotted
2: easterlings
2: ancient
2: zealot
2: castamir
2: +7
2: king
2: fredegar
2: thonnas
2: neither
2: skinbark's
2: rohirrim
2: sam's
2: +
2: haethen
2: gate
2: haleth
2: hlafwine
2: durin
2: corrupt
2: rager
2: before
2: rosie
2: asfaloth
2: leod
2: erech
2: controlled
2: great
2: assigning
2: examine
2: taking
2: weland
2: exertion
2: fierce.toil
2: tip
2: aside
2: hills
2: hall
2: using
2: fereveldir
2: savage
2: aragorn's
2: totals
2: slayer
2: lidenroot
2: artefact
2: dwarf's
2: cursed
2: alcarin
2: farin
2: count
2: spot:
2: type
2: attached
2: placed
2: non-[wraith]
2: mablung
2: 2[t]
1: bruinen
1: haradrim
1: keywords:
1: non-[shire]
1: [11]
1: cirion
1: pride
1: firefoot
1: brown
1: ring's
1: ottar
1: horde's
1: duilin
1: choice
1: calaglin
1: 8[k]
1: room
1: galadhon
1: courage
1: imrahil
1: eregion
1: -5
1: ten
1: undead
1: ted
1: degats
1: affectation
1: machines
1: captain
1: skirmish:if
1: warband
1: selected
1: dwarrowdelf
1: vorondil
1: liberated
1: version
1: boromir's
1: angmar
1: equals
1: overwhelms
1: cart
1: 9[tower]
1: ahead
1: berserker
1: slow-kindled
1: axeman
1: buckleberry
1: makes
1: golden
1: orc's
1: opponents
1: would
1: contains
1: guthlaf
1: fror
1: hen
1: hugin
1: edoras
1: nimrais
1: westemnet
1: 7[tower]
1: des
1: shrieker
1: my
1: golradir
1: fortress
1: antother
1: now
1: palantir
1: caused
1: defausser
1: looses
1: shuffled
1: ingold
1: mauhur
1: suspend
1: weathertop
1: map
1: designez
1: sneak
1: thorin
1: destructive
1: +9
1: keyward
1: regroup:exert
